TH,Class,Coverage,#Covered,#Total,Accuracy,#Correct
0.0,all,1.0,7327,7327,81.98444110822983,6007
0.0,armed conflicts and attacks,1.0,1956,1956,87.73006134969326,1716
0.0,politics and elections,1.0,1328,1328,73.19277108433735,972
0.0,law and crime,1.0,1196,1196,77.8428093645485,931
0.0,disasters and accidents,1.0,1115,1115,90.76233183856502,1012
0.0,business and economy,1.0,527,527,74.95256166982922,395
0.0,sport,1.0,508,508,92.71653543307086,471
0.0,arts and culture,1.0,401,401,70.07481296758105,281
0.0,science and technology,1.0,296,296,77.36486486486487,229
0.1,all,1.0,7327,7327,81.97079295755425,6006
0.1,armed conflicts and attacks,1.0,1956,1956,87.73006134969326,1716
0.1,politics and elections,1.0,1328,1328,73.19277108433735,972
0.1,law and crime,1.0,1196,1196,77.8428093645485,931
0.1,disasters and accidents,1.0,1115,1115,90.76233183856502,1012
0.1,business and economy,1.0,527,527,74.76280834914611,394
0.1,sport,1.0,508,508,92.71653543307086,471
0.1,arts and culture,1.0,401,401,70.07481296758105,281
0.1,science and technology,1.0,296,296,77.36486486486487,229
0.2,all,1.0,7327,7327,81.97079295755425,6006
0.2,armed conflicts and attacks,1.0,1956,1956,87.73006134969326,1716
0.2,politics and elections,1.0,1328,1328,73.19277108433735,972
0.2,law and crime,1.0,1196,1196,77.8428093645485,931
0.2,disasters and accidents,1.0,1115,1115,90.76233183856502,1012
0.2,business and economy,1.0,527,527,74.76280834914611,394
0.2,sport,1.0,508,508,92.71653543307086,471
0.2,arts and culture,1.0,401,401,70.07481296758105,281
0.2,science and technology,1.0,296,296,77.36486486486487,229
0.3,all,0.9995905554797325,7324,7327,81.97706171490988,6004
0.3,armed conflicts and attacks,0.9994887525562373,1955,1956,87.7237851662404,1715
0.3,politics and elections,1.0,1328,1328,73.19277108433735,972
0.3,law and crime,0.9991638795986622,1195,1196,77.82426778242677,930
0.3,disasters and accidents,0.9991031390134529,1114,1115,90.754039497307,1011
0.3,business and economy,1.0,527,527,74.95256166982922,395
0.3,sport,1.0,508,508,92.71653543307086,471
0.3,arts and culture,1.0,401,401,70.07481296758105,281
0.3,science and technology,1.0,296,296,77.36486486486487,229
0.4,all,0.9965879623311041,7302,7327,82.15557381539304,5999
0.4,armed conflicts and attacks,0.9969325153374233,1950,1956,87.94871794871794,1715
0.4,politics and elections,0.9962349397590361,1323,1328,73.39380196523054,971
0.4,law and crime,0.9966555183946488,1192,1196,78.02013422818791,930
0.4,disasters and accidents,0.9964125560538116,1111,1115,90.9090909090909,1010
0.4,business and economy,0.9962049335863378,525,527,75.04761904761905,394
0.4,sport,0.9980314960629921,507,508,92.89940828402366,471
0.4,arts and culture,0.9975062344139651,400,401,70.0,280
0.4,science and technology,0.9932432432432432,294,296,77.55102040816327,228
0.5,all,0.9840316637095674,7210,7327,82.7877947295423,5969
0.5,armed conflicts and attacks,0.9897750511247444,1936,1956,88.32644628099173,1710
0.5,politics and elections,0.9774096385542169,1298,1328,74.19106317411402,963
0.5,law and crime,0.979933110367893,1172,1196,78.92491467576792,925
0.5,disasters and accidents,0.9910313901345291,1105,1115,91.22171945701358,1008
0.5,business and economy,0.9810246679316889,517,527,76.01547388781431,393
0.5,sport,0.9921259842519685,504,508,93.25396825396825,470
0.5,arts and culture,0.972568578553616,390,401,70.51282051282051,275
0.5,science and technology,0.972972972972973,288,296,78.125,225
0.6,all,0.9495018425003412,6957,7327,84.23170907000144,5860
0.6,armed conflicts and attacks,0.9703476482617587,1898,1956,89.304531085353,1695
0.6,politics and elections,0.9337349397590361,1240,1328,75.24193548387096,933
0.6,law and crime,0.93561872909699,1119,1196,80.6970509383378,903
0.6,disasters and accidents,0.967713004484305,1079,1115,92.58572752548656,999
0.6,business and economy,0.9259962049335864,488,527,78.27868852459017,382
0.6,sport,0.9704724409448819,493,508,94.32048681541582,465
0.6,arts and culture,0.9002493765586035,361,401,72.57617728531856,262
0.6,science and technology,0.9425675675675675,279,296,79.21146953405018,221
0.7,all,0.9170192438924526,6719,7327,85.83122488465546,5767
0.7,armed conflicts and attacks,0.9504089979550102,1859,1956,90.42495965572888,1681
0.7,politics and elections,0.891566265060241,1184,1328,76.85810810810811,910
0.7,law and crime,0.882943143812709,1056,1196,83.33333333333333,880
0.7,disasters and accidents,0.9461883408071748,1055,1115,93.74407582938389,989
0.7,business and economy,0.8918406072106262,470,527,79.7872340425532,375
0.7,sport,0.9547244094488189,485,508,95.05154639175258,461
0.7,arts and culture,0.8653366583541147,347,401,73.77521613832853,256
0.7,science and technology,0.8885135135135135,263,296,81.74904942965779,215
0.8,all,0.8727992357035622,6395,7327,87.80297107114933,5615
0.8,armed conflicts and attacks,0.9228016359918201,1805,1956,91.8005540166205,1657
0.8,politics and elections,0.8343373493975904,1108,1328,78.51985559566786,870
0.8,law and crime,0.8336120401337793,997,1196,85.65697091273822,854
0.8,disasters and accidents,0.9210762331838565,1027,1115,94.9367088607595,975
0.8,business and economy,0.8273244781783681,436,527,82.11009174311927,358
0.8,sport,0.9251968503937008,470,508,96.80851063829788,455
0.8,arts and culture,0.773067331670823,310,401,77.09677419354838,239
0.8,science and technology,0.8175675675675675,242,296,85.53719008264463,207
0.9,all,0.8134297802647741,5960,7327,89.68120805369128,5345
0.9,armed conflicts and attacks,0.8834355828220859,1728,1956,93.05555555555556,1608
0.9,politics and elections,0.7469879518072289,992,1328,80.84677419354838,802
0.9,law and crime,0.7625418060200669,912,1196,88.26754385964912,805
0.9,disasters and accidents,0.8789237668161435,980,1115,95.91836734693878,940
0.9,business and economy,0.7685009487666035,405,527,84.44444444444444,342
0.9,sport,0.90748031496063,461,508,96.96312364425162,447
0.9,arts and culture,0.6633416458852868,266,401,79.32330827067669,211
0.9,science and technology,0.7297297297297297,216,296,87.96296296296296,190
